player_0_name,player_1_name,player_0_team,player_1_team,player_0_selected,player_1_selected,player_0_first,player_1_first,winner_name
德・健・财,たくや,"['キラフロル', 'カイリュー', 'ママンボウ', 'ミミッキュ', 'テラパゴス(テラスタル)', 'ガチグマ']","['ディンルー', 'オオニューラ', 'コライドン', 'カイリュー', 'サーフゴー', 'ハバタクカミ']","['カイリュー', 'テラパゴス(テラスタル)']","['カイリュー', 'サーフゴー', 'コライドン']",カイリュー,コライドン,德・健・财
ユウナギ,かに,"['オーガポン(かまど)', 'ランドロス(れいじゅう)', 'ウーラオス(れんげき)', 'ミミッキュ', 'キョジオーン', 'ミライドン']","['グライオン', 'アローラベトベトン', 'ムゲンダイナ', 'ラッキー', 'ヘイラッシャ', 'ガチグマ']","['ウーラオス(れんげき)', 'キョジオーン']","['アローラベトベトン', 'ムゲンダイナ', 'ラッキー']",キョジオーン,ラッキー,ユウナギ
スコール,Violet,"['ゲッコウガ', 'カイオーガ', 'テツノツツミ', 'ラプラス', 'ヘイラッシャ', 'ドヒドイデ']","['キラフロル', 'ディンルー', 'チオンジェン', 'バドレックス(こくば)', 'カイリュー', 'ハバタクカミ']","['ドヒドイデ', 'ラプラス', 'テツノツツミ']","['キラフロル', 'ハバタクカミ', 'カイリュー']",テツノツツミ,キラフロル,スコール
スカーレット,バイオレット,"['パオジアン', 'テツノワダチ', 'カイリュー', 'ハッサム', 'ミミッキュ', 'ミライドン']","['グライオン', 'オーガポン(かまど)', 'バドレックス(こくば)', 'カイリュー', 'ママンボウ', 'ハッサム']","['ハッサム', 'テツノワダチ']","['グライオン', 'ハッサム', 'ママンボウ']",テツノワダチ,グライオン,スカーレット
ながいみのる,ダイオキシン,"['ディンルー', 'バドレックス(こくば)', 'ウーラオス(れんげき)', 'カイリュー', 'キョジオーン', 'トドロクツキ']","['キラフロル', 'アシレーヌ', 'マスカーニャ', 'キョジオーン', 'ハバタクカミ', 'ネクロズマ(たそがれ)']",['バドレックス(こくば)'],"['キラフロル', 'ハバタクカミ', 'アシレーヌ']",バドレックス(こくば),キラフロル,ながいみのる
ちゃこすけ,U,"['サーフゴー', 'エルフーン', 'ハバタクカミ', 'テラパゴス(テラスタル)', 'アーマーガア', 'ドーブル']","['ゴリランダー', 'オオニューラ', 'キノガッサ', 'バドレックス(こくば)', 'テツノワダチ', 'カイリュー']","['ハバタクカミ', 'テラパゴス(テラスタル)', 'アーマーガア']","['カイリュー', 'ゴリランダー']",アーマーガア,カイリュー,U
まぐね,れんぴょろ,"['ランドロス(けしん)', 'アシレーヌ', 'ガチグマ(アカツキ)', 'パオジアン', 'カイリュー', 'ザシアン(けんのおう)']","['ランドロス(れいじゅう)', 'ウーラオス(れんげき)', 'ギラティナ(オリジン)', 'ハッサム', 'ハバタクカミ', 'バンギラス']","['カイリュー', 'パオジアン', 'ガチグマ(アカツキ)']","['ハバタクカミ', 'ランドロス(れいじゅう)', 'バンギラス']",パオジアン,バンギラス,まぐね
はなみずき,中野二乃(CHS),"['ザマゼンタ(たてのおう)', 'ガチグマ(アカツキ)', 'カイリュー', 'ママンボウ', 'テツノブジン', 'トドロクツキ']","['カバルドン', 'イーユイ', 'カイリュー', 'マスカーニャ', 'ザシアン(けんのおう)', 'ハバタクカミ']","['カイリュー', 'ガチグマ(アカツキ)']","['ザシアン(けんのおう)', 'カバルドン', 'マスカーニャ']",カイリュー,マスカーニャ,はなみずき
青き此方,ギルガルド,"['ディンルー', 'ランドロス(れいじゅう)', 'ウーラオス(れんげき)', 'キョジオーン', 'ミライドン', 'オーロンゲ']","['ディンルー', 'オーガポン(かまど)', 'ウーラオス(れんげき)', 'カイリュー', 'ザシアン(けんのおう)', 'ハバタクカミ']","['ミライドン', 'オーロンゲ', 'ウーラオス(れんげき)']","['カイリュー', 'ディンルー', 'ザシアン(けんのおう)']",ウーラオス(れんげき),ディンルー,青き此方
カイン,ショウガ,"['カイオーガ', 'パオジアン', 'ランドロス(れいじゅう)', 'キョジオーン', 'ブリジュラス', 'ハバタクカミ']","['ディンルー', 'パオジアン', 'ムゲンダイナ', 'イッカネズミ', 'ハバタクカミ', 'ポットデス']","['カイオーガ', 'パオジアン', 'ブリジュラス']","['ハバタクカミ', 'パオジアン', 'ムゲンダイナ']",カイオーガ,ハバタクカミ,カイン
くろっきー,ヴァイオ,"['オーガポン(かまど)', 'バドレックス(こくば)', 'ウーラオス(れんげき)', 'ブリジュラス', 'ハバタクカミ', 'オーロンゲ']","['ディンルー', 'パオジアン', 'カイオーガ', 'ウーラオス(れんげき)', 'カイリュー', 'ハバタクカミ']",['オーガポン(かまど)'],"['パオジアン', 'ディンルー', 'ウーラオス(れんげき)']",オーガポン(かまど),ディンルー,くろっきー
カジ,ピロスケ,"['カビゴン', 'ウーラオス(いちげき)', 'カイリュー', 'ミュウツー', 'ウインディ', 'テツノカイナ']","['コライドン', 'イーユイ', 'ヘイラッシャ', 'エーフィ', 'ドオー', 'ハバタクカミ']","['カイリュー', 'ウーラオス(いちげき)', 'カビゴン']","['イーユイ', 'ハバタクカミ', 'コライドン']",カイリュー,イーユイ,ピロスケ
スコール,カノープス,"['ゲッコウガ', 'カイオーガ', 'テツノツツミ', 'ラプラス', 'ヘイラッシャ', 'ドヒドイデ']","['パオジアン', 'ランドロス(れいじゅう)', 'ヘイラッシャ', 'ドドゲザン', 'ミライドン', 'エンテイ']","['カイオーガ', 'ドヒドイデ', 'ラプラス']",['ランドロス(れいじゅう)'],カイオーガ,ランドロス(れいじゅう),カノープス
俺出現神呆然,わたあめ,"['ガチグマ(アカツキ)', 'イーユイ', 'コライドン', 'ハッサム', 'ヘイラッシャ', 'ハバタクカミ']","['バドレックス(はくば)', 'ウーラオス(れんげき)', 'エルフーン', 'ドオー', 'イーユイ', 'ガチグマ']","['ハッサム', 'コライドン']","['ガチグマ', 'ウーラオス(れんげき)', 'ドオー']",コライドン,ドオー,俺出現神呆然
あまとぅー。,しょー,"['アシレーヌ', 'ヒスイハリーセン', 'カイリュー', 'ルナアーラ', 'ハバタクカミ', 'ガブリアス']","['ガチグマ(アカツキ)', 'オーガポン(かまど)', 'カイリュー', 'キョジオーン', 'ザシアン(けんのおう)', 'ハバタクカミ']","['カイリュー', 'ガブリアス', 'アシレーヌ']","['ガチグマ(アカツキ)', 'オーガポン(かまど)', 'キョジオーン']",カイリュー,キョジオーン,あまとぅー。
中野二乃(CHS),ヒサ,"['カバルドン', 'イーユイ', 'カイリュー', 'マスカーニャ', 'ザシアン(けんのおう)', 'ハバタクカミ']","['オーガポン(かまど)', 'バドレックス(こくば)', 'ランドロス(れいじゅう)', 'ウーラオス(れんげき)', 'ブリジュラス', 'オーロンゲ']","['イーユイ', 'ザシアン(けんのおう)']","['ランドロス(れいじゅう)', 'ウーラオス(れんげき)', 'ブリジュラス']",イーユイ,ウーラオス(れんげき),中野二乃(CHS)
カゼヲイタミ,maru,"['ポリゴン2', 'バドレックス(こくば)', 'ランドロス(れいじゅう)', 'ウーラオス(れんげき)', 'ヒードラン', 'ドヒドイデ']","['ガブリアス', 'カイリュー', 'ハッサム', 'ガラルマタドガス', 'テラパゴス(テラスタル)', 'ラウドボーン']","['バドレックス(こくば)', 'ランドロス(れいじゅう)', 'ポリゴン2']","['カイリュー', 'ガラルマタドガス', 'ラウドボーン']",ランドロス(れいじゅう),カイリュー,maru
かに,バンブー,"['グライオン', 'アローラベトベトン', 'ムゲンダイナ', 'ラッキー', 'ヘイラッシャ', 'ガチグマ']","['キラフロル', 'チオンジェン', 'バドレックス(こくば)', 'ランドロス(れいじゅう)', 'ウーラオス(れんげき)', 'カイリュー']","['アローラベトベトン', 'ラッキー', 'ヘイラッシャ']","['キラフロル', 'バドレックス(こくば)', 'ウーラオス(れんげき)']",ラッキー,ウーラオス(れんげき),かに
スカーレット,つゆだく,"['ガチグマ(アカツキ)', 'パオジアン', 'イーユイ', 'カイリュー', 'キョジオーン', 'ザシアン(けんのおう)']","['ディンルー', 'オーガポン(かまど)', 'ウーラオス(れんげき)', 'カイリュー', 'ルナアーラ', 'ガラルマタドガス']","['イーユイ', 'ザシアン(けんのおう)', 'カイリュー']","['オーガポン(かまど)', 'ルナアーラ', 'ウーラオス(れんげき)']",イーユイ,オーガポン(かまど),スカーレット
ちゃこすけ,しゅばばばば,"['サーフゴー', 'エルフーン', 'ハバタクカミ', 'テラパゴス(テラスタル)', 'アーマーガア', 'ドーブル']","['アローラキュウコン', 'ガチグマ(アカツキ)', 'ホウオウ', 'ウーラオス(れんげき)', 'ドラパルト', 'ハバタクカミ']",['ハバタクカミ'],"['ハバタクカミ', 'ドラパルト', 'アローラキュウコン']",ハバタクカミ,ハバタクカミ,ちゃこすけ
AKVきのこ,ピロスケ,"['ディンルー', 'カビゴン', 'オーガポン(かまど)', 'バドレックス(こくば)', 'ウーラオス(れんげき)', 'カイリュー']","['コライドン', 'イーユイ', 'ヘイラッシャ', 'エーフィ', 'ドオー', 'ハバタクカミ']","['カイリュー', 'オーガポン(かまど)']","['イーユイ', 'エーフィ', 'コライドン']",カイリュー,コライドン,AKVきのこ
