rank,rating,trainer_name,blog_url,pokemon1_name,pokemon1_item,pokemon1_nature,pokemon1_ability,pokemon1_Ttype,pokemon1_moves,pokemon1_effort,pokemon2_name,pokemon2_item,pokemon2_nature,pokemon2_ability,pokemon2_Ttype,pokemon2_moves,pokemon2_effort,pokemon3_name,pokemon3_item,pokemon3_nature,pokemon3_ability,pokemon3_Ttype,pokemon3_moves,pokemon3_effort,pokemon4_name,pokemon4_item,pokemon4_nature,pokemon4_ability,pokemon4_Ttype,pokemon4_moves,pokemon4_effort,pokemon5_name,pokemon5_item,pokemon5_nature,pokemon5_ability,pokemon5_Ttype,pokemon5_moves,pokemon5_effort,pokemon6_name,pokemon6_item,pokemon6_nature,pokemon6_ability,pokemon6_Ttype,pokemon6_moves,pokemon6_effort
1,2108.87,イマクニ,https://note.com/pokemons2/n/n8310aed80d5f,コライドン,いかさまダイス,いじっぱり,ひひいろのこどう,ほのお,"スケイルショット, フレアドライブ, ニトロチャージ, ちょうはつ","220, 220, 4, 0, 44, 20",アルセウス,だいちのプレート,ひかえめ,マルチタイプ,はがね,"さばきのつぶて, れいとうビーム, でんじは, じこさいせい","252, 0, 4, 156, 84, 12",グライオン,どくどくだま,しんちょう,ポイズンヒール,はがね,"じしん, どくどく, まもる, みがわり","228, 0, 52, 0, 196, 12",ハバタクカミ,きあいのタスキ,おくびょう,こだいかっせい,ノーマル,"ムーンフォース, たたりめ, でんじは, いたみわけ","4, 0, 0, 252, 0, 252",アラブルタケ,あつぞこブーツ,しんちょう,こだいかっせい,ほのお,"かみくだく, クリアスモッグ, キノコのほうし, こうごうせい","244, 0, 12, 0, 252, 0",ヘイラッシャ,たべのこし,わんぱく,てんねん,ノーマル,"ウェーブタックル, じわれ, まもる, ねむる","252, 0, 196, 0, 44, 12"
6,2070.047,つめたい花火,https://monburan-poke.hatenablog.com/entry/2025/12/02/214328,ディンルー,オボンのみ,わんぱく,わざわいのうつわ,みず,"じしん, カタストロフィ, ステルスロック, ふきとばし","244, 0, 132, 0, 132, 0",カイリュー,ゴツゴツメット,ずぶとい,マルチスケイル,はがね,"ほのおのうず, でんじは, アンコール, はねやすめ","244, 0, 36, 4, 12, 212",バドレックス(こくば),きあいのタスキ,おくびょう,じんばいったい,フェアリー,"アストラルビット, ドレインキッス, わるだくみ, アンコール","0, 0, 4, 252, 0, 252",アルセウス,シルクのスカーフ,いじっぱり,マルチタイプ,ノーマル,"しんそく, シャドークロー, つるぎのまい, じこさいせい","220, 252, 0, 0, 0, 36",キラフロル,ふうせん,おくびょう,どくげしょう,あく,"パワージェム, キラースピン, ステルスロック, おきみやげ","244, 0, 4, 4, 4, 252",キョジオーン,たべのこし,しんちょう,きよめのしお,ひこう,"しおづけ, じわれ, まもる, じこさいせい","252, 0, 0, 0, 252, 4"
8,2057.184,バイオレット,https://sso-061.hatenablog.com/entry/2025/12/01/224939,アルセウス,せいれいプレート,ずぶとい,マルチタイプ,はがね,"さばきのつぶて, めいそう, ちょうはつ, じこさいせい","252, 0, 76, 4, 4, 172",ホウオウ,とつげきチョッキ,なまいき,さいせいりょく,くさ,"せいなるほのお, ブレイブバード, じしん, ギガドレイン","252, 36, 84, 4, 132, 0",ヘイラッシャ,たべのこし,わんぱく,てんねん,ゴースト,"ウェーブタックル, のろい, ねむる, まもる","252, 0, 220, 0, 36, 0",キラフロル,ふうせん,おくびょう,ふしょく,じめん,"キラースピン, マッドショット, どくどく, ニードルガード","244, 0, 12, 0, 0, 252",ディンルー,こだわりハチマキ,いじっぱり,わざわいのうつわ,ほのお,"じしん, しっぺがえし, ヘビーボンバー, ストーンエッジ","4, 252, 4, 0, 212, 36",ウーラオス(れんげき),きあいのタスキ,いじっぱり,ふかしのこぶし,ステラ,"すいりゅうれんだ, インファイト, アイススピナー, アクアジェット","0, 252, 76, 0, 0, 180"
9,2056.558,バイオレット,https://forceast1809.hatenablog.com/entry/2025/12/02/131310,コライドン,こだわりスカーフ,いじっぱり,ひひいろのこどう,ほのお,"インファイト, フレアドライブ, げきりん, とんぼがえり","220, 252, 4, 0, 12, 20",バドレックス(こくば),こだわりメガネ,おくびょう,じんばいったい,じめん,"アストラルビット, サイコキネシス, くさむすび, テラバースト","0, 0, 4, 252, 0, 252",ガオガエン,とつげきチョッキ,しんちょう,いかく,フェアリー,"フレアドライブ, はたきおとす, とんぼがえり, じならし","252, 0, 4, 0, 252, 0",ガチグマ(アカツキ),シルクのスカーフ,ひかえめ,しんがん,ノーマル,"ブラッドムーン, ハイパーボイス, めいそう, つきのひかり","252, 0, 52, 52, 148, 4",テツノワダチ,きあいのタスキ,ようき,クォークチャージ,ノーマル,"じならし, はたきおとす, がむしゃら, ステルスロック","0, 180, 0, 0, 76, 252",ラウドボーン,あつぞこブーツ,わんぱく,てんねん,ノーマル,"フレアソング, たたりめ, おにび, なまける","252, 0, 252, 0, 4, 0"
24,2012.789,わさわさび,https://note.com/wasawasabi_p/n/n519a79e4e699,バドレックス(こくば),たべのこし,おくびょう,じんばいったい,はがね,"アストラルビット, まもる, みがわり, やどりぎのタネ","156, 0, 84, 4, 12, 252",コライドン,とつげきチョッキ,いじっぱり,ひひいろのこどう,でんき,"スケイルショット, アクセルブレイク, テラバースト, とんぼがえり","204, 196, 12, 0, 28, 68",パオジアン,いのちのたま,いじっぱり,わざわいのつるぎ,あく,"つららおとし, かみくだく, ふいうち, こおりのつぶて","0, 252, 4, 0, 0, 252",ガチグマ,かえんだま,いじっぱり,こんじょう,ノーマル,"からげんき, じしん, れいとうパンチ, ほえる","140, 252, 60, 0, 52, 4",キラフロル,ふうせん,おだやか,どくげしょう,ノーマル,"パワージェム, マッドショット, キラースピン, ニードルガード","252, 0, 28, 4, 156, 68",ママンボウ,ゴツゴツメット,のんき,さいせいりょく,フェアリー,"クイックターン, アクアジェット, ねがいごと, まもる","252, 0, 252, 0, 4, 0"
25,2012.7,文明開花輪舞,https://aibo-rsn.hatenablog.com/entry/2025/12/02/192106,バドレックス(こくば),きあいのタスキ,おくびょう,じんばいったい,くさ,"アストラルビット, くさむすび, アンコール, サイコキネシス","0, 0, 4, 252, 0, 252",アルセウス,シルクのスカーフ,いじっぱり,マルチタイプ,ノーマル,"しんそく, シャドークロー, じこさいせい, つるぎのまい","124, 236, 4, 0, 4, 140",ディンルー,オボンのみ,わんぱく,わざわいのうつわ,どく,"じしん, カタストロフィ, ステルスロック, ふきとばし","212, 4, 116, 0, 156, 20",パオジアン,いのちのたま,いじっぱり,わざわいのつるぎ,でんき,"つららおとし, かみくだく, テラバースト, ふいうち","0, 252, 4, 0, 0, 252",ヘイラッシャ,たべのこし,わんぱく,てんねん,ノーマル,"ウェーブタックル, あくび, かみくだく, まもる","252, 0, 196, 0, 60, 0",チオンジェン,とつげきチョッキ,おだやか,わざわいのおふだ,フェアリー,"イカサマ, ギガドレイン, マッドショット, バークアウト","252, 0, 100, 0, 156, 0"
28,2010.888,都会の鼠,https://tdpoke.hatenadiary.com/entry/2025/12/02/052719,アルセウス,せいれいプレート,ひかえめ,マルチタイプ,ひこう,"さばきのつぶて, コスモパワー, ちょうはつ, じこさいせい","220, 0, 20, 4, 76, 188",コライドン,いかさまダイス,ようき,ひひいろのこどう,ノーマル,"スケイルショット, アイアンヘッド, みがわり, つるぎのまい","0, 252, 4, 0, 0, 252",キラフロル,きあいのタスキ,おくびょう,どくげしょう,ゴースト,"キラースピン, マッドショット, ステルスロック, どくびし","132, 0, 108, 4, 12, 252",ヒードラン,ふうせん,ずぶとい,もらいび,ひこう,"マグマストーム, だいちのちから, まもる, ちょうはつ","244, 0, 188, 0, 76, 0",ディンルー,とつげきチョッキ,いじっぱり,わざわいのうつわ,はがね,"じしん, カタストロフィ, がんせきふうじ, ヘビーボンバー","164, 76, 4, 0, 252, 12",ヘイラッシャ,たべのこし,わんぱく,てんねん,ノーマル,"ウェーブタックル, あくび, まもる, ねむる","252, 0, 196, 0, 60, 0"
31,2010.314,藍二乘,https://shallll.hatenablog.com/entry/2025/12/01/000000,アルセウス,あおぞらプレート,おくびょう,マルチタイプ,ほのお,"さばきのつぶて, めいそう, ちょうはつ, じこさいせい","220, 0, 4, 28, 4, 252",ザシアン(けんのおう),くちたけん,ようき,ふとうのけん,ノーマル,"きょじゅうざん, インファイト, くさわけ, つるぎのまい","156, 124, 4, 0, 4, 220",ディンルー,とつげきチョッキ,ゆうかん,わざわいのうつわ,くさ,"じしん, カタストロフィ, テラバースト, ヘビーボンバー","4, 252, 0, 0, 252, 0",キラフロル,レッドカード,ずぶとい,どくげしょう,じめん,"キラースピン, だいちのちから, こらえる, ステルスロック","244, 0, 252, 0, 0, 12",オーロンゲ,こうこうのしっぽ,しんちょう,いたずらごころ,ゴースト,"ソウルクラッシュ, イカサマ, トリック, すてゼリフ","244, 4, 60, 0, 196, 4",ヘイラッシャ,たべのこし,わんぱく,てんねん,くさ,"じしん, ゆきなだれ, あくび, まもる","252, 4, 252, 0, 0, 0"
39,2007.922,ユーライザ,https://darkvllages.hatenablog.com/entry/2025/12/01/120558,アルセウス,せいれいプレート,おくびょう,マルチタイプ,ほのお,"さばきのつぶて, ちょうはつ, めいそう, じこさいせい","252, 0, 36, 28, 12, 180",コライドン,いかさまダイス,ようき,ひひいろのこどう,はがね,"スケイルショット, アクセルブレイク, アイアンヘッド, つるぎのまい","0, 252, 4, 0, 0, 252",ストリンダー(ハイ),きあいのタスキ,おくびょう,パンクロック,ノーマル,"ばくおんぱ, がむしゃら, どくびし, ほっぺすりすり","4, 0, 244, 4, 4, 252",ヘイラッシャ,たべのこし,わんぱく,てんねん,ほのお,"ウェーブタックル, じしん, まもる, ねむる","252, 0, 252, 0, 4, 0",ベトベトン,くろいヘドロ,しんちょう,どくしゅ,どく,"はたきおとす, どくづき, かげうち, まもる","244, 4, 4, 0, 236, 20",テツノカイナ,とつげきチョッキ,しんちょう,クォークチャージ,ほのお,"サンダーダイブ, ドレインパンチ, じしん, ねこだまし","76, 140, 12, 0, 252, 28"
41,2006.756,Tôyôsâkï Àkï,https://kebin-poke.hatenablog.com/entry/2025/12/02/221127,ミライドン,こだわりメガネ,ひかえめ,ハドロンエンジン,フェアリー,"イナズマドライブ, ボルトチェンジ, りゅうせいぐん, マジカルシャイン","124, 0, 4, 252, 12, 116",ホウオウ,オボンのみ,わんぱく,さいせいりょく,フェアリー,"せいなるほのお, おいかぜ, じこさいせい, とびはねる","252, 0, 236, 0, 0, 20",チオンジェン,たべのこし,おだやか,わざわいのおふだ,フェアリー,"ギガドレイン, イカサマ, やどりぎのタネ, まもる","252, 0, 108, 0, 148, 0",テツノワダチ,ジャポのみ,ようき,クォークチャージ,ノーマル,"アイアンヘッド, じならし, こうそくスピン, ステルスロック","236, 116, 52, 4, 100, 0",パオジアン,じゅうでんち,いじっぱり,わざわいのつるぎ,でんき,"どげざつき, テラバースト, こおりのつぶて, つるぎのまい","0, 236, 0, 0, 204, 68",ウーラオス(れんげき),きあいのタスキ,いじっぱり,ふかしのこぶし,ゴースト,"すいりゅうれんだ, インファイト, アクアジェット, つるぎのまい","0, 252, 4, 0, 0, 252"
